sentiment,keyword,chi2_score,p_value,rank
positive,broke,4.286823322275247,0.11725412850593313,1
positive,police,2.5374553934857516,0.2811891521607774,2
positive,plan,2.373392845123117,0.3052279444787733,3
positive,buy,2.252540368335769,0.3242403607153199,4
positive,outside,2.244276980304976,0.32558279402536294,5
positive,white,2.2261818995538323,0.3285418835554997,6
positive,wife,2.189872660101744,0.33456090774646635,7
positive,guy,2.119606130081993,0.3465240463096659,8
positive,tottenham,2.0433019530240615,0.3600000975671956,9
positive,failed,2.0359125356351138,0.36133265324433284,10
positive,running,2.00588174944156,0.3667991431118354,11
positive,million,1.996635320442393,0.36849886027973844,12
positive,spring,1.9941548260644169,0.36895617348743537,13
positive,names,1.9477391464981344,0.37761898298109414,14
positive,try,1.9404165251061123,0.379004097522532,15
positive,announced,1.701026632789357,0.4271955891577687,16
positive,massive,1.6691758597886797,0.4340533049777864,17
positive,soccer stadium,1.4020249109116592,0.49608278772179526,18
positive,soccer club,1.3158861789592533,0.5179155455573402,19
positive,today,1.2691743725091125,0.5301542981320866,20
positive,money,1.2559589415490389,0.5336690062018945,21
positive,set open,1.170455323067702,0.5569790446733962,22
positive,privately,1.170455323067702,0.5569790446733962,23
positive,funded,1.170455323067702,0.5569790446733962,24
positive,privately funded,1.170455323067702,0.5569790446733962,25
positive,seat,1.1213228666110577,0.5708313720722953,26
positive,shape,1.0732249781038434,0.5847256658227943,27
positive,stadium,0.9953773097816386,0.6079341827747724,28
positive,la,0.9562584843164117,0.6199420691531787,29
positive,partner,0.9329005996628991,0.6272247812333592,30
positive,school,0.9157335960342196,0.6326317383972873,31
positive,season,0.8784116747604529,0.6445480938833517,32
positive,new stadium,0.8776856547391609,0.6447821137669842,33
positive,plans,0.8770788175355049,0.6449777823376681,34
positive,open,0.848098596294679,0.6543916208191183,35
positive,ahead,0.8220077366457338,0.6629843669581799,36
positive,changed,0.8111965376022812,0.6665778987816771,37
positive,march,0.8047005541386456,0.6687464581104918,38
positive,europa league,0.7314857563946588,0.6936811388264222,39
positive,tor,0.7262149673671935,0.6955116733247841,40
positive,fc,0.7216978496461784,0.6970843026465927,41
positive,taking,0.7179850082020739,0.6983795863147699,42
positive,play,0.7138972293331529,0.6998084567016016,43
positive,major,0.7087849051738481,0.7015995687527399,44
positive,nfl,0.7051847390421384,0.702863643634025,45
positive,europa,0.6888352957282069,0.7086329072174468,46
positive,cost,0.6856728742020132,0.7097542915362579,47
positive,price,0.6856728742020132,0.7097542915362579,48
positive,neighborhood,0.6732408263963379,0.7141798817147506,49
positive,team,0.6677707316431089,0.7161358711692662,50
neutral,broke,4.286823322275247,0.11725412850593313,1
neutral,police,2.5374553934857516,0.2811891521607774,2
neutral,plan,2.373392845123117,0.3052279444787733,3
neutral,buy,2.252540368335769,0.3242403607153199,4
neutral,outside,2.244276980304976,0.32558279402536294,5
neutral,white,2.2261818995538323,0.3285418835554997,6
neutral,wife,2.189872660101744,0.33456090774646635,7
neutral,guy,2.119606130081993,0.3465240463096659,8
neutral,tottenham,2.0433019530240615,0.3600000975671956,9
neutral,failed,2.0359125356351138,0.36133265324433284,10
neutral,running,2.00588174944156,0.3667991431118354,11
neutral,million,1.996635320442393,0.36849886027973844,12
neutral,spring,1.9941548260644169,0.36895617348743537,13
neutral,names,1.9477391464981344,0.37761898298109414,14
neutral,try,1.9404165251061123,0.379004097522532,15
neutral,announced,1.701026632789357,0.4271955891577687,16
neutral,massive,1.6691758597886797,0.4340533049777864,17
neutral,soccer stadium,1.4020249109116592,0.49608278772179526,18
neutral,soccer club,1.3158861789592533,0.5179155455573402,19
neutral,today,1.2691743725091125,0.5301542981320866,20
neutral,money,1.2559589415490389,0.5336690062018945,21
neutral,set open,1.170455323067702,0.5569790446733962,22
neutral,privately,1.170455323067702,0.5569790446733962,23
neutral,funded,1.170455323067702,0.5569790446733962,24
neutral,privately funded,1.170455323067702,0.5569790446733962,25
neutral,seat,1.1213228666110577,0.5708313720722953,26
neutral,shape,1.0732249781038434,0.5847256658227943,27
neutral,stadium,0.9953773097816386,0.6079341827747724,28
neutral,la,0.9562584843164117,0.6199420691531787,29
neutral,partner,0.9329005996628991,0.6272247812333592,30
neutral,school,0.9157335960342196,0.6326317383972873,31
neutral,season,0.8784116747604529,0.6445480938833517,32
neutral,new stadium,0.8776856547391609,0.6447821137669842,33
neutral,plans,0.8770788175355049,0.6449777823376681,34
neutral,open,0.848098596294679,0.6543916208191183,35
neutral,ahead,0.8220077366457338,0.6629843669581799,36
neutral,changed,0.8111965376022812,0.6665778987816771,37
neutral,march,0.8047005541386456,0.6687464581104918,38
neutral,europa league,0.7314857563946588,0.6936811388264222,39
neutral,tor,0.7262149673671935,0.6955116733247841,40
neutral,fc,0.7216978496461784,0.6970843026465927,41
neutral,taking,0.7179850082020739,0.6983795863147699,42
neutral,play,0.7138972293331529,0.6998084567016016,43
neutral,major,0.7087849051738481,0.7015995687527399,44
neutral,nfl,0.7051847390421384,0.702863643634025,45
neutral,europa,0.6888352957282069,0.7086329072174468,46
neutral,cost,0.6856728742020132,0.7097542915362579,47
neutral,price,0.6856728742020132,0.7097542915362579,48
neutral,neighborhood,0.6732408263963379,0.7141798817147506,49
neutral,team,0.6677707316431089,0.7161358711692662,50
negative,broke,4.286823322275247,0.11725412850593313,1
negative,police,2.5374553934857516,0.2811891521607774,2
negative,plan,2.373392845123117,0.3052279444787733,3
negative,buy,2.252540368335769,0.3242403607153199,4
negative,outside,2.244276980304976,0.32558279402536294,5
negative,white,2.2261818995538323,0.3285418835554997,6
negative,wife,2.189872660101744,0.33456090774646635,7
negative,guy,2.119606130081993,0.3465240463096659,8
negative,tottenham,2.0433019530240615,0.3600000975671956,9
negative,failed,2.0359125356351138,0.36133265324433284,10
negative,running,2.00588174944156,0.3667991431118354,11
negative,million,1.996635320442393,0.36849886027973844,12
negative,spring,1.9941548260644169,0.36895617348743537,13
negative,names,1.9477391464981344,0.37761898298109414,14
negative,try,1.9404165251061123,0.379004097522532,15
negative,announced,1.701026632789357,0.4271955891577687,16
negative,massive,1.6691758597886797,0.4340533049777864,17
negative,soccer stadium,1.4020249109116592,0.49608278772179526,18
negative,soccer club,1.3158861789592533,0.5179155455573402,19
negative,today,1.2691743725091125,0.5301542981320866,20
negative,money,1.2559589415490389,0.5336690062018945,21
negative,set open,1.170455323067702,0.5569790446733962,22
negative,privately,1.170455323067702,0.5569790446733962,23
negative,funded,1.170455323067702,0.5569790446733962,24
negative,privately funded,1.170455323067702,0.5569790446733962,25
negative,seat,1.1213228666110577,0.5708313720722953,26
negative,shape,1.0732249781038434,0.5847256658227943,27
negative,stadium,0.9953773097816386,0.6079341827747724,28
negative,la,0.9562584843164117,0.6199420691531787,29
negative,partner,0.9329005996628991,0.6272247812333592,30
negative,school,0.9157335960342196,0.6326317383972873,31
negative,season,0.8784116747604529,0.6445480938833517,32
negative,new stadium,0.8776856547391609,0.6447821137669842,33
negative,plans,0.8770788175355049,0.6449777823376681,34
negative,open,0.848098596294679,0.6543916208191183,35
negative,ahead,0.8220077366457338,0.6629843669581799,36
negative,changed,0.8111965376022812,0.6665778987816771,37
negative,march,0.8047005541386456,0.6687464581104918,38
negative,europa league,0.7314857563946588,0.6936811388264222,39
negative,tor,0.7262149673671935,0.6955116733247841,40
negative,fc,0.7216978496461784,0.6970843026465927,41
negative,taking,0.7179850082020739,0.6983795863147699,42
negative,play,0.7138972293331529,0.6998084567016016,43
negative,major,0.7087849051738481,0.7015995687527399,44
negative,nfl,0.7051847390421384,0.702863643634025,45
negative,europa,0.6888352957282069,0.7086329072174468,46
negative,cost,0.6856728742020132,0.7097542915362579,47
negative,price,0.6856728742020132,0.7097542915362579,48
negative,neighborhood,0.6732408263963379,0.7141798817147506,49
negative,team,0.6677707316431089,0.7161358711692662,50
